id,input_text,target_language,human_translated_text
50,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,en,The business is dull nowadays. / It has slackened. / It has slowed down.
51,நாம் செலவை குறைக்க டைண் டும்,en,We’ve got to cut down our expenses.
52,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,en,It is hard-earned money. / (Saving for the rainy day).
53,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,en,Don’t blow it out of proportion.
54,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,en,Many a slip between the cup and the lip. (Missed opportunity).
55,அது அப்படியே இருக்கட்டும்,en,Let it be. / Leave it as it is.
56,சரி. விஷயத்துக்கு வரலாம்,en,OK. Let’s get down to business.
57,இது எல்லாவற்றிலும் நல்லது,en,This is by far the best.
58,கண் ட கண் ட மபாருள்கள்,en,Random things.
59,சரி. இப்ப நாம் தொடங்கலாம்,en,OK. Here we go. / Let’s start. / Let’s get started.
60,மபரிய உபடதசம் பண் ணாதே,en,Don’t start your sermons. / Don’t sermonise.
61,எனக்கு ஒரு டயாசவன தோன்றுகிறது,en,I have an idea. / I’ve hit upon a new idea.
62,மீண் டும் மீண் டும்,en,Time and again. / Again and again. / Repeatedly.
63,இதுதான் வாழ்க்கையில் எல்லாம் என்று எண்ணிவிடாதே,en,This is not the be all and end all in life.
64,,en,
65,சரி,en,Alright. OK
66,நீங்கள் தயாரா?,en,Are you ready?
67,உங்கள் இஷ்டம்,en,As you wish. As you like.
68,கவனமாக இரு,en,Be careful.
69,சரியான நேரத்தில் இருங்கள்,en,Be punctual.
70,தயாராக இருங்கள்,en,Be ready.
71,ஜாக்கிரதை (நாய்கள் ஜாக்கிரதை),en,Beware of dogs.
72,சீக்கிரம் வா,en,Come back soon.
73,முடிந்தது என்று கருதுங்கள்,en,Consider this as done.
74,தாமதிக்க வேண்டாம்,en,Don’t be late.
75,பயப்பட வேண்டாம்,en,Don’t be scared.
76,முட்டாள்தனமாக இருக்க வேண்டாம்,en,Don’t be silly.
77,பணம் கடன் வாங்க வேண்டாம்,en,Don’t borrow money.
78,கிரெடிட்டில் வாங்க வேண்டாம்,en,Don’t buy on credit.
79,கோபப்பட வேண்டாம்,en,Don’t be angry.
80,என்னை தவறாக நினைக்க வேண்டாம்,en,Don’t get me wrong.
81,தயங்க வேண்டாம்,en,Don’t hesitate. Be frank.
82,முட்டாள்தனமாக பேச வேண்டாம்,en,Don’t talk nonsense.
83,திரை திற,en,Draw the curtain.
84,என்னை மன்னித்துவிடு,en,Forgive me.
85,ரதாதலந்து போ,en,Get lost.
86,திரும்பிச் செல்,en,Go back.
87,ஒழிஞ்சு போ,en,Go to hell.
88,நீ உன்னை நம்பு,en,Have faith in yourself.
89,அவர் என் சிறந்த நண்பர்,en,He is my best friend.
90,அவர் வீட்டில் இல்லை,en,He is not home.
91,அவர் கறுப்பானவர்,en,His complexion is dark.
92,உன் நாக்கை அடக்கு,en,Hold your tongue. Mind your words.
93,எப்படி இது?,en,How come?
94,அதைச் சொல்ல உனக்கு எவ்வளவு தைரியம்?,en,How dare you say that?
95,எவ்வளவு அருவருப்பானது,en,How disgusting.
96,எவ்வளவு அழகு,en,How lovely! How nice! So sweet!
97,உங்கள் வயது என்ன? எனக்கு வயது 12.,en,How old are you? I just turned 12.
98,சீக்கிரம்,en,Hurry up.
99,எனக்கு கொஞ்சம் பணம் வேண்டும்,en,I am in need of some money.
100,நான் வந்துகொண்டு இருக்கிறேன்,en,I am just coming.
101,உன்னை பார்த்து பெருமைப்படுகிறேன்,en,I am proud of you.
102,எனக்கு நேரம் இல்லை,en,I don’t have time.
103,எனக்கு இது எப்படி செய்ய வேண்டும் என்று தெரியாது,en,I don’t know how to do this.
104,நான் அப்படி நினைக்கவில்லை,en,I don’t think so.
105,என்னிடம் எதுவும் இல்லை,en,I don't have anything.
106,எனக்கு காய்ச்சல் மற்றும் தொண்டை வலி உள்ளது,en,I have a fever and sore throat.
107,எனக்கு எதுவும் தெரியாது,en,I have no idea.
108,எனக்கு நேரமில்லை,en,I have no time.
109,நான் அதைப் பற்றி சிந்திக்க வேண்டும்,en,I have to think about it.
110,நான் உன்னை மிஸ் செய்தேன்,en,I missed you very much.
111,நான் முடிந்தவரை முயற்சிப்பேன்,en,I will try my best.
112,அப்படியா?,en,Is it?
113,பத்து நாற்கால் மணி,en,It’s quarter past 10.
114,வரிசையை முந்தாதே,en,Don’t jump the queue.
115,என்னை தனியாக இருக்க விடு,en,Leave me alone.
116,அது இருக்கட்டும்,en,Let it be.
117,நான் பார்க்கிறேன்,en,Let me see.
118,நான் சொல்வதை கேள்,en,Listen to me.
119,இரண்டு நாட்களாக பார்க்கவில்லை,en,Long-time no see.
120,இன்றைய நாள் மகிழ்ச்சியானதாக இருக்கட்டும்,en,Many happy returns of the day!
121,கடவுள் உன்னை ஆசீர்வதிப்பாராக,en,May God bless you!
122,நான் உங்களுக்கு உதவலாமா?,en,May I help you?
123,நீ உன் வேலையைப் பார்,en,Mind your own business.
124,தயவுசெய்து ஒதுங்குங்கள்,en,"Move aside, please."
125,அதைப் பற்றி கவலைப்படாதே,en,Never mind.
126,"இல்லை, ஒன்றுமில்லை",en,"No, Not at all."
127,சிறப்பாக எதுவும் இல்லை,en,Nothing special.
128,நிச்சயமாக,en,Of course.
129,நம்பிக்கையாக இரு,en,Rest assured.
130,மீண்டும் சந்திப்போம்,en,See you again. See you later.
131,நாம் தொடங்கலாமா?,en,Shall we start?
132,சிரமத்திற்கு மன்னிக்கவும்,en,Sorry for the inconvenience.
133,என்ன நினைக்கிறீர்கள் அதைச் சொல்லுங்கள்,en,Speak your mind.
134,விளக்கை அணைக்கவும்,en,Switch off the light.
135,விளக்கை போடவும்,en,Switch on the light.
136,பேசுவதற்கு முன் இரண்டு முறை சிந்தியுங்கள்,en,Think twice before you speak.
137,இப்படி நல்லது தொடரட்டும்,en,Touch wood.
138,புரிந்துகொள்ள முயற்சி செய்,en,Try to understand.
139,அடுத்த முறை அதிர்ஷ்டத்தை முயற்சி செய்,en,Try your luck next time.
140,உன் மூளைப் பயன்படுத்து,en,Use your brain.
141,இடத்தை காலி செய்,en,Vacate this place.
142,ஒரு நிமிடம் காத்திரு,en,Wait a minute.
143,"கவனியுங்கள், இந்த இடம் வழுக்கும்",en,Watch out. This place is slippery.
144,என்ன ஒரு பரிதாபம்,en,What a pity!
145,என்ன ஒரு அவமானம்,en,What a shame!
146,என்ன ஒரு யோசனை,en,What an idea!
147,என்னால் என்ன செய்ய முடியும்,en,What can I do?
148,நீங்கள் என்ன சொல்கிறீர்கள்?,en,What do you mean?
149,என்ன முட்டாள்தனம்,en,What nonsense?
150,இன்றைய நாள் என்ன?,en,What’s the day today?
151,நேரம் என்ன?,en,What’s the time?
152,யார் கவலைப்படுகிறார்கள்?,en,Who cares?
153,யார் அங்கே?,en,Who is there?
154,இது யார்? இது நான்,en,Who is this? It’s me.
155,யாருக்கு தெரியும்?,en,Who knows?
156,கொஞ்சம் தேநீர் வேண்டுமா?,en,Would you like some tea?
157,நீங்கள் தவறாக நினைக்கிறீர்கள்,en,You are mistaken. You are making a mistake.
158,நீ நகைச்சுவை செய்கிறாய்,en,You must be joking. You must be kidding.
159,இந்த பொருளுக்கு அதிக தேவை உள்ளது,en,There is a great demand for this item.
160,தளபாடங்கள் இங்கே மலிவானவை,en,Furniture is quite cheap here.
161,கண்ணாடி உடையக்கூடியது,en,Glass is fragile. Handle with care.
162,அவர் மிகவும் கூர்மையானவர்,en,He is quite sharp; understands easily.
163,இந்த பெண் மிகவும் படிப்பாளி,en,This girl is quite studious.
164,இந்த தளபாடங்கள் மிகவும் உறுதியானவை,en,This furniture is quite sturdy.
165,அவர் ஒரு கஞ்சன்,en,He is a miser. Doesn’t spend even for essentials.
166,human_translated_text,ta,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.
167,Don’t be a cry-baby. / Don’t be a fusspot.,ta,நீங்கள் எனக்கு உதவ முடியுமா?
168,Stop whining. / Stop whimpering.,ta,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?
169,You are very naughty.,ta,சாப்பாடு பரிமாறு
170,This boy is very mischievous; troublesome.,ta,ருசியான சாப்பாடு
171,Behave yourself. / Keep quiet.,ta,நான் உணவை ரசித்து சாப்பிட்டேன்
172,"She is smart, bright and intelligent.",ta,உணவின் முக்கியப் பகுதி
173,She yaps a lot. / She is a chatterbox. / Talkative. Doesn’t stop talking.,ta,விக்குது; விக்கல் எடுக்குது
174,Stubborn; adamant.,ta,பசி யித்வத கிள்ளுது
175,She spilled coffee on the floor. / She messed up the place.,ta,பசிதய இல்வல
176,Help yourself. (Do it yourself.) You’ve grown up.,ta,யித்வத புரட்டுது
177,Don’t depend on me. / Don’t bother me.,ta,யிறு கம்மமன்று இருக்குது
178,Don’t answer back. / Don’t talk back. / Don’t retort.,ta,அவனுக்கு புத்திகூர்மை அதிகம்
179,Just listen to me. / Obey me.,ta,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட
180,Don’t crack your knuckles. / That’s a bad habit.,ta,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது
181,You should turn up on time. / Be punctual. / Reach the office on time. / Don’t be late.,ta,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்
182,My boss turned down my request.,ta,ஒட்டவட எடு
183,My boss refused to grant me leave. / He rejected my leave application.,ta,அதில் தூசி தட்டிவிடு
184,I had a hard time with my boss today. / My boss was tough and rude with me.,ta,பழக்கமாக
185,He is finding fault with whatever I do.,ta,பழக்கத்துக்கு மாறாக
186,My boss is always nit-picking in my work.,ta,நருக்கு நர்
187,My boss scolded me. / He rebuked me.,ta,எப்படியும் சமாளிக்க டைண் டும்
188,I have a very strict boss.,ta,என் அத்தி பூத்தது போல வருகிறீர்கள்
189,He is never lenient.,ta,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது
190,It is tough work at the office.,ta,நாம் செலவை குறைக்க டைண் டும்
191,Heavy work at the office.,ta,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்
192,I don’t know how to do this.,ta,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே
193,I am at a loss to know how to do this.,ta,வகக்கு எட்டியது காய்க்கு எட்டவில்லை
194,"Could you help me, if you don’t mind?",ta,அது அப்படியே இருக்கட்டும்
195,Would you mind lending me a helping hand?,ta,சரி. விஷயத்துக்கு வரலாம்
196,Serve food. (Don’t say: Keep the food) / (Second serving),ta,இது எல்லாவற்றிலும் நல்லது
197,Tasty food. / Yummy food. / Delicious; delectable; palatable.,ta,கண் ட கண் ட மபாருள்கள்
198,I relished the food.,ta,சரி. இப்ப நாம் தொடங்கலாம்
199,Main course.,ta,மபரிய உபடதசம் பண் ணாதே
200,I am hiccupping.,ta,எனக்கு ஒரு டயாசவன தோன்றுகிறது
201,I am starved. / I am famished.,ta,மீண் டும் மீண் டும்
202,I am full. / I am not hungry. / My stomach is full.,ta,இதுதான் வாழ்க்கையில் எல்லாம் என்று எண்ணிவிடாதே
203,Stomach churning. / My stomach is churning.,ta,
204,I feel full. (Due to indigestion).,ta,சரி
205,He is sharp and intelligent. / He is brainy.,ta,நீங்கள் தயாரா?
206,He is dumb. / He is stupid. / Dull-headed. / Brainless fellow.,ta,உங்கள் இஷ்டம்
207,This place is sticky.,ta,கவனமாக இரு
208,Mop the floor.,ta,சரியான நேரத்தில் இருங்கள்
209,Remove the cobwebs.,ta,தயாராக இருங்கள்
210,Dust it.,ta,ஜாக்கிரதை (நாய்கள் ஜாக்கிரதை)
211,Usually. / Customarily.,ta,சீக்கிரம் வா
212,Unusually. / Contrary to the custom.,ta,முடிந்தது என்று கருதுங்கள்
213,Direct. / One to one (conversation). / One on one (competition).,ta,தாமதிக்க வேண்டாம்
214,Try to manage somehow. / Cope with it. / Grapple with it. / Manoeuvre.,ta,பயப்பட வேண்டாம்
215,You come here once in a blue moon. / You seldom come here. / You rarely come here. / You come here occasionally.,ta,முட்டாள்தனமாக இருக்க வேண்டாம்
216,The business is dull nowadays. / It has slackened. / It has slowed down.,ta,பணம் கடன் வாங்க வேண்டாம்
217,We’ve got to cut down our expenses.,ta,கிரெடிட்டில் வாங்க வேண்டாம்
218,It is hard-earned money. / (Saving for the rainy day).,ta,கோபப்பட வேண்டாம்
219,Don’t blow it out of proportion.,ta,என்னை தவறாக நினைக்க வேண்டாம்
220,Many a slip between the cup and the lip. (Missed opportunity).,ta,தயங்க வேண்டாம்
221,Let it be. / Leave it as it is.,ta,முட்டாள்தனமாக பேச வேண்டாம்
222,OK. Let’s get down to business.,ta,திரை திற
223,This is by far the best.,ta,என்னை மன்னித்துவிடு
224,Random things.,ta,ரதாதலந்து போ
225,OK. Here we go. / Let’s start. / Let’s get started.,ta,திரும்பிச் செல்
226,Don’t start your sermons. / Don’t sermonise.,ta,ஒழிஞ்சு போ
227,I have an idea. / I’ve hit upon a new idea.,ta,நீ உன்னை நம்பு
228,Time and again. / Again and again. / Repeatedly.,ta,அவர் என் சிறந்த நண்பர்
229,This is not the be all and end all in life.,ta,அவர் வீட்டில் இல்லை
230,,ta,அவர் கறுப்பானவர்
231,Alright. OK,ta,உன் நாக்கை அடக்கு
232,Are you ready?,ta,எப்படி இது?
233,As you wish. As you like.,ta,அதைச் சொல்ல உனக்கு எவ்வளவு தைரியம்?
234,Be careful.,ta,எவ்வளவு அருவருப்பானது
235,Be punctual.,ta,எவ்வளவு அழகு
236,Be ready.,ta,உங்கள் வயது என்ன? எனக்கு வயது 12.
237,Beware of dogs.,ta,சீக்கிரம்
238,Come back soon.,ta,எனக்கு கொஞ்சம் பணம் வேண்டும்
239,Consider this as done.,ta,நான் வந்துகொண்டு இருக்கிறேன்
240,Don’t be late.,ta,உன்னை பார்த்து பெருமைப்படுகிறேன்
241,Don’t be scared.,ta,எனக்கு நேரம் இல்லை
242,Don’t be silly.,ta,எனக்கு இது எப்படி செய்ய வேண்டும் என்று தெரியாது
243,Don’t borrow money.,ta,நான் அப்படி நினைக்கவில்லை
244,Don’t buy on credit.,ta,என்னிடம் எதுவும் இல்லை
245,Don’t be angry.,ta,எனக்கு காய்ச்சல் மற்றும் தொண்டை வலி உள்ளது
246,Don’t get me wrong.,ta,எனக்கு எதுவும் தெரியாது
247,Don’t hesitate. Be frank.,ta,எனக்கு நேரமில்லை
248,Don’t talk nonsense.,ta,நான் அதைப் பற்றி சிந்திக்க வேண்டும்
249,Draw the curtain.,ta,நான் உன்னை மிஸ் செய்தேன்
250,Forgive me.,ta,நான் முடிந்தவரை முயற்சிப்பேன்
251,Get lost.,ta,அப்படியா?
252,Go back.,ta,பத்து நாற்கால் மணி
253,Go to hell.,ta,வரிசையை முந்தாதே
254,Have faith in yourself.,ta,என்னை தனியாக இருக்க விடு
255,He is my best friend.,ta,அது இருக்கட்டும்
256,He is not home.,ta,நான் பார்க்கிறேன்
257,His complexion is dark.,ta,நான் சொல்வதை கேள்
258,Hold your tongue. Mind your words.,ta,இரண்டு நாட்களாக பார்க்கவில்லை
259,How come?,ta,இன்றைய நாள் மகிழ்ச்சியானதாக இருக்கட்டும்
260,How dare you say that?,ta,கடவுள் உன்னை ஆசீர்வதிப்பாராக
261,How disgusting.,ta,நான் உங்களுக்கு உதவலாமா?
262,How lovely! How nice! So sweet!,ta,நீ உன் வேலையைப் பார்
263,How old are you? I just turned 12.,ta,தயவுசெய்து ஒதுங்குங்கள்
264,Hurry up.,ta,அதைப் பற்றி கவலைப்படாதே
265,I am in need of some money.,ta,"இல்லை, ஒன்றுமில்லை"
266,I am just coming.,ta,சிறப்பாக எதுவும் இல்லை
267,I am proud of you.,ta,நிச்சயமாக
268,I don’t have time.,ta,நம்பிக்கையாக இரு
269,I don’t know how to do this.,ta,மீண்டும் சந்திப்போம்
270,I don’t think so.,ta,நாம் தொடங்கலாமா?
271,I don't have anything.,ta,சிரமத்திற்கு மன்னிக்கவும்
272,I have a fever and sore throat.,ta,என்ன நினைக்கிறீர்கள் அதைச் சொல்லுங்கள்
273,I have no idea.,ta,விளக்கை அணைக்கவும்
274,I have no time.,ta,விளக்கை போடவும்
275,I have to think about it.,ta,பேசுவதற்கு முன் இரண்டு முறை சிந்தியுங்கள்
276,I missed you very much.,ta,இப்படி நல்லது தொடரட்டும்
277,I will try my best.,ta,புரிந்துகொள்ள முயற்சி செய்
278,Is it?,ta,அடுத்த முறை அதிர்ஷ்டத்தை முயற்சி செய்
279,It’s quarter past 10.,ta,உன் மூளைப் பயன்படுத்து
280,Don’t jump the queue.,ta,இடத்தை காலி செய்
281,Leave me alone.,ta,ஒரு நிமிடம் காத்திரு
282,Let it be.,ta,"கவனியுங்கள், இந்த இடம் வழுக்கும்"
283,Let me see.,ta,என்ன ஒரு பரிதாபம்
284,Listen to me.,ta,என்ன ஒரு அவமானம்
285,Long-time no see.,ta,என்ன ஒரு யோசனை
286,Many happy returns of the day!,ta,என்னால் என்ன செய்ய முடியும்
287,May God bless you!,ta,நீங்கள் என்ன சொல்கிறீர்கள்?
288,May I help you?,ta,என்ன முட்டாள்தனம்
289,Mind your own business.,ta,இன்றைய நாள் என்ன?
290,"Move aside, please.",ta,நேரம் என்ன?
291,Never mind.,ta,யார் கவலைப்படுகிறார்கள்?
292,"No, Not at all.",ta,யார் அங்கே?
293,Nothing special.,ta,இது யார்? இது நான்
294,Of course.,ta,யாருக்கு தெரியும்?
295,Rest assured.,ta,கொஞ்சம் தேநீர் வேண்டுமா?
296,See you again. See you later.,ta,நீங்கள் தவறாக நினைக்கிறீர்கள்
297,Shall we start?,ta,நீ நகைச்சுவை செய்கிறாய்
298,Sorry for the inconvenience.,ta,இந்த பொருளுக்கு அதிக தேவை உள்ளது
299,Speak your mind.,ta,தளபாடங்கள் இங்கே மலிவானவை
300,Switch off the light.,ta,கண்ணாடி உடையக்கூடியது
301,Switch on the light.,ta,அவர் மிகவும் கூர்மையானவர்
302,Think twice before you speak.,ta,இந்த பெண் மிகவும் படிப்பாளி
303,Touch wood.,ta,இந்த தளபாடங்கள் மிகவும் உறுதியானவை
304,Try to understand.,ta,அவர் ஒரு கஞ்சன்
305,Are those people better than these?,hi,क्या वे लोग इनसे ज़्यादा अच्छे हैं?
306,This woman is less active than that woman.,hi,यह औरत उस औरत से कम चुस्त है।
307,Do you like Delhi?,hi,क्या आपको दिल्ली पसंद है?
308,Rakesh doesn’t like this girl.,hi,राकेश को यह लड़की पसंद नहीं।
309,You like to stroll in the garden.,hi,तुझे बाग में सैर करना पसंद है।
310,He/She likes our work.,hi,उसे हमारा काम अच्छा लगता है।
311,This girl doesn’t like Rakesh.,hi,इस लड़की को राकेश अच्छा नहीं लगता।
312,Do you like to drive?,hi,तुम्हें गाड़ी चलाना अच्छा लगता है?
313,I like Gaurav.,hi,मैं गौरव को चाहती हूँ।
314,He wants to eat a samosa.,hi,वह समोसा खाना चाहता है।
315,I don’t want to go to the market.,hi,मैं बाज़ार जाना नहीं चाहती।
316,I need a new car.,hi,मुझे नई गाड़ी चाहिए।
317,He/She should come home.,hi,इसे घर आना चाहिए।
318,They should not work on Sunday.,hi,इन्हें रविवार को काम नहीं करना चाहिए।
319,I am hungry.,hi,मुझे भूख लगी है।
320,I am thirsty.,hi,मुझे प्यास लगी है।
321,I find yogurt sour.,hi,मुझे दही खट्टा लगता है।
322,I find bitter gourd bitter.,hi,मुझे करेला कड़वा लगता है।
323,I find banana sweet.,hi,मुझे केला मीठा लगता है।
324,I find mango wafer sweet and sour.,hi,मुझे आम पापड़ खट्टा-मीठा लगता है।
325,I find puff pastry salty.,hi,मुझे समोसा नमकीन लगता है।
326,I find fruit fresh.,hi,मुझे फल ताज़ा लगता है।
327,I find old butter stale.,hi,मुझे परसों का मक्खन बासी लगता है।
328,I find rasgulla soft.,hi,मुझे रसगुल्ला नरम लगता है।
329,I find jackfruit hard.,hi,मुझे कटहल सख़्त लगता है।
330,I find chickpeas spicy.,hi,मुझे चना मसाला मसालेदार लगता है।
331,I find water bland.,hi,मुझे पानी फीका लगता है।
332,Sonal’s uncle,hi,सोनल का चाचा
333,Yashu’s book,hi,यशु की किताब
334,Deepak’s table,hi,दीपक का मेज़
335,Prashant’s laptop,hi,प्रशांत का लैपटॉप
336,नमस्ते,en,Hello
337,क्या हाल है?,en,How are you?
338,नमस्ते,en,Hi
339,मैं अच्छा हूँ,en,I'm good
340,मैं ठीक हूँ,en,I'm okay
341,मुझे अच्छा लगता है,en,I feel good
342,मुझे बुरा लगता है,en,I feel bad
343,आप क्या?,en,What about you?
344,और आप?,en,And you?
345,तुम्हारा नाम क्या है?,en,What's your name?
346,मेरा नाम ... है,en,My name is...
347,आपसे मिलकर अच्छा लगा,en,Nice to meet you
348,क्या हो रहा है?,en,What's up?
349,नया क्या है?,en,What's new?
350,बाथरूम कहाँ है?,en,Where is the bathroom?
351,क्या तुम वो फिर से कह सकते हो?,en,Can you say that again?
352,तुम कहाँ जॉब करती हो?,en,Where do you work?
353,क्या आप अंग्रेज़ी बोलते हैं?,en,Do you speak English?
354,माफ़ कीजिए,en,Excuse me
355,मुझे माफ कर दो,en,I'm sorry
356,धन्यवाद,en,Thank you
357,आपका स्वागत है,en,You're welcome
358,हाँ,en,Yes
359,नहीं,en,No
360,मुझे समझ नहीं आता,en,I don't understand
361,वास्तव में?,en,Really?
362,कृपया,en,Please
363,मुझे यह पसंद है,en,I like it
364,मुझे यह पसंद नहीं है,en,I don't like it
365,आप क्या काम करते हैं?,en,What's your job?
366,मैं हूँ...,en,I am...
367,अलविदा,en,Bye
368,बाद में मिलते हैं,en,See you later
369,फिर मिलते हैं,en,Let's meet again
370,ठंडा,en,Cool
371,महान,en,Great
372,अच्छा,en,Good
373,खराब,en,Bad
374,आज मौसम अच्छा है,en,The weather is nice today
375,आज मौसम खराब है,en,The weather is bad today
376,आपका पसंदीदा भोजन क्या है?,en,What's your favorite food?
377,चलो खाने चलते हैं,en,Let's go eat
378,आप खाने के जाने के लिए करना चाहते हैं?,en,Do you want to go eat?
379,आपका पसंदीदा संगीत क्या है?,en,What's your favorite music?
380,मुझे पसंद है...,en,I like...
381,स्वादिष्ट,en,Delicious
382,यह स्वादिष्ट है,en,It is delicious
383,इसका स्वाद अच्छा है,en,It tastes good
384,यह अच्छा स्वाद नहीं है,en,It does not taste good
385,आपकी उम्र क्या है?,en,How old are you?
386,,en,
387,आपकी उम्र/आयु क्या है?,en,What is your age?
388,आपकी उम्र/आयु कितनी है?,en,How old are you?
389,आप कितने साल के हैं?,en,How old are you?
390,मेरी उम्र २१ साल है।,en,I am 21 years old.
391,मैं २१ साल का हूँ।,en,I (male) am 21 years old.
392,मैं २१ साल की हूँ।,en,I (female) am 21 years old.
393,आपकी आयु कितनी है?,en,How old are you?
394,मेरी आयु १९ वर्ष है।,en,I am 19 years old.
395,मैं १९ साल का हूँ।,en,I (male) am 19 years old.
396,मैं १९ साल की हूँ।,en,I (female) am 19 years old.
397,मैं ३० साल का हूँ।,en,I (male) am 30 years old.
398,मैं ३० साल की हूँ।,en,I (female) am 30 years old.
