id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status,tone,domain,OpenAI_Trans,OpenAI_Tokens,Gemini_Trans,Gemini_Tokens,BLEU_OpenAI,BLEU_Gemini,Cosine_OpenAI,Cosine_Gemini,AvgMetric_OpenAI,AvgMetric_Gemini,Best,Best_Tokens,Accuracy(%),Classification
23,அவர் ஒருபோதும் சமாதானமாக இருப்பதில்லை.,en,He is never lenient.,அவர் ஒருபோதும் சமாதானமாக இருப்பதில்லை.,ta,approved,Neutral,General,He is never at peace.,38,He is never at peace.,20,0.2659,0.2659,0.5471,0.5471,0.4065,0.4065,OpenAI,38,40.65,No
24,அலுவலகத்தில் கடினமான வேலை.,en,It is tough work at the office.,அலுவலகத்தில் கடினமான வேலை.,ta,approved,Short/Simple,General,Hard work at the office.,34,Hard work at the office.,16,0.4483,0.4483,0.785,0.785,0.6166,0.6166,OpenAI,34,61.66,No
25,அலுவலகத்தில் அதிகமான வேலை.,en,Heavy work at the office.,அலுவலகத்தில் அதிகமான வேலை.,ta,approved,Short/Simple,General,There is a lot of work at the office.,37,A lot of work at the office.,17,0.2985,0.4111,0.819,0.8004,0.5587,0.6058,Gemini,17,60.58,No
26,இதை எப்படி செய்வது என்று தெரியவில்லை.,en,I don’t know how to do this.,இதை எப்படி செய்வது என்று தெரியவில்லை.,ta,approved,Neutral,General,I don't know how to do this.,35,I don't know how to do this.,17,0.6435,0.6435,0.9836,0.9836,0.8135,0.8135,OpenAI,35,81.35,No
27,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,en,I am at a loss to know how to do this.,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,ta,approved,Neutral,General,I am confused and don't know how to do this.,50,"Here are a few ways to translate that, capturing slightly different nuances of ""திக்குமுக்காடிக் காண்டு இருக்கிறேன்"" (to be flustered, bewildered, overwhelmed, struggling):

1.  **I'm completely overwhelmed because I don't know how to do this.**
2.  **I'm struggling because I don't know how to do this.**
3.  **I'm at a loss, not knowing how to do this.**
4.  **I'm floundering, not knowing how to do this.**

The first option, ""I'm completely overwhelmed because I don't know how to do this,"" likely captures the full emotional weight of ""திக்குமுக்காடிக் காண்டு இருக்கிறேன்"" most accurately.",171,0.4088,0.0316,0.7096,0.1396,0.5592,0.0856,OpenAI,50,55.92,No
28,நீங்கள் எனக்கு உதவ முடியுமா?,en,"Could you help me, if you don’t mind?",நீங்கள் எனக்கு உதவ முடியுமா?,ta,approved,Neutral,General,Can you help me?,34,Can you help me?,16,0.0625,0.0625,0.5825,0.5825,0.3225,0.3225,OpenAI,34,32.25,No
29,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,en,Would you mind lending me a helping hand?,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,ta,approved,Neutral,General,Can you please help me?,39,"The most natural and common translations are:

*   **Could you please do me a favor?**
*   **Could you please help me?**
*   **Can you please help me?**",55,0.0295,0.0163,0.3573,0.3635,0.1934,0.1899,OpenAI,39,19.34,No
30,சாப்பாடு பரிமாறு,en,Serve food. (Don’t say: Keep the food) / (Second serving),சாப்பாடு பரிமாறு,ta,approved,Short/Simple,General,Food delivery,26,Serve food.,9,0.0,0.0058,0.512,0.7369,0.256,0.3713,Gemini,9,37.13,No
31,ருசியான சாப்பாடு,en,Tasty food. / Yummy food. / Delicious; delectable; palatable.,ருசியான சாப்பாடு,ta,approved,Short/Simple,General,Delicious food,27,Delicious food,9,0.0,0.0,0.6175,0.6175,0.3087,0.3087,OpenAI,27,30.87,No
32,நான் உணவை ரசித்து சாப்பிட்டேன்,en,I relished the food.,நான் உணவை ரசித்து சாப்பிட்டேன்,ta,approved,Neutral,General,I enjoyed tasting the food.,34,"Here are a few ways to translate ""நான் உணவை ரசித்து சாப்பிட்டேன்"" into English, capturing the nuance of ""ரசித்து"" (savoring, enjoying thoroughly):

*   **I savored my food.** (This is often the most direct and idiomatic translation.)
*   **I ate the food with enjoyment.**
*   **I enjoyed eating the food.**
*   **I ate the food with relish.**",103,0.1257,0.0033,0.7548,0.2841,0.4403,0.1437,OpenAI,34,44.03,No
33,உணவின் முக்கியப் பகுதி,en,Main course.,உணவின் முக்கியப் பகுதி,ta,approved,Short/Simple,General,The important part of food,31,The main part of food,13,0.0,0.0,0.2282,0.3328,0.1141,0.1664,Gemini,13,16.64,No
34,விக்குது; விக்கல் எடுக்குது,en,I am hiccupping.,விக்குது விக்கல் எடுக்குது,ta,approved,Short/Simple,General,It's selling; it's taking a sale.,36,"Here are a few ways to translate it, depending on the nuance:

1.  **I'm having hiccups.** (Most common and natural)
2.  **I'm hiccupping; I'm getting hiccups.** (More literal, keeping both clauses)
3.  **The hiccups are coming on.** (Focuses on the onset, especially for ""விக்கல் எடுக்குது"")

The first option, **""I'm having hiccups,""** is usually the best and most natural equivalent in English for both phrases combined.",119,0.0,0.0,0.1895,0.4223,0.0947,0.2111,Gemini,119,21.11,No
35,பசி யித்வத கிள்ளுது,en,I am starved. / I am famished.,பசி யித்வத கிள்ளுது,ta,approved,Short/Simple,General,Hunger is a great teacher.,34,"This phrase translates to:

**""This hunger is really pinching me.""**

Or, more idiomatically:

**""I'm having severe hunger pangs.""**",42,0.0,0.0,0.3978,0.4462,0.1989,0.2231,Gemini,42,22.31,No
36,பசிதய இல்வல,en,I am full. / I am not hungry. / My stomach is full.,பசிதய இல்வல,ta,approved,Short/Simple,General,"The text ""பசிதய இல்வல"" translates to ""Pachithaya Ilval"" in English, but it seems to be a name or a phrase that may not have a direct translation. If you provide more context, I can help you better understand its meaning.",82,"This text appears to have a few typos, but the most likely intended meaning is:

**No hunger.**
or
**Not hungry.**

The original text ""பசிதய இல்வல"" seems to be a misspelling of phrases like ""பசியே இல்லை"" (Pasiye illai - No hunger at all) or ""பசி இல்லை"" (Pasi illai - No hunger / Not hungry).",95,0.0055,0.0035,0.0539,0.3445,0.0297,0.174,Gemini,95,17.4,No
37,யித்வத புரட்டுது,en,Stomach churning. / My stomach is churning.,யித்வத புரட்டுது,ta,approved,Short/Simple,General,"The translation of ""யித்வத புரட்டுது"" to English is ""What is happening?""",45,"This phrase is a bit unusual due to the first word, ""யித்வத"" (Yithvatha), which doesn't appear to be a standard, commonly understood Tamil word in this context, or it might be a specific name or a typo.

However, the second word, ""புரட்டுது"" (purattuthu), is clear. It is the third-person singular present tense of the verb ""புரட்டு"" (purattu).

""புரட்டு"" (purattu) can mean:
1.  To turn over, to flip.
2.  To cause a disturbance, to stir up, to agitate.
3.  To mess up, to create chaos.
4.  (Figuratively) To cause a revolution or radical change.

So, ""புரட்டுது"" (purattuthu) means:
*   It is turning over.
*   It is causing a stir/disturbance.
*   It is messing things up.
*   It is turning things upside down.

Given the ambiguity of ""யித்வத,"" if we assume ""யித்வத"" is the subject (e.g., a person's name or a specific, perhaps obscure, thing), or if the phrase is meant to imply ""it"" (the situation, an unnamed entity) is the subject, here are some possible translations:

1.  **It is causing a stir.**
2.  **It is turning things upside down.**
3.  **It is making a mess.**
4.  (Less likely without context, if Yithvatha is a name) **Yithvatha is causing a disturbance.**

Without further context for ""யித்வத,"" it's hard to give a definitive single translation, but the action described by ""புரட்டுது"" is about causing disruption or turning something over.",382,0.0189,0.0008,0.1518,0.1696,0.0853,0.0852,OpenAI,45,8.53,No
38,யிறு கம்மமன்று இருக்குது,en,I feel full. (Due to indigestion).,யிறு கம்மமன்று இருக்குது,ta,approved,Short/Simple,General,The thread is not tight.,33,"The most probable interpretation of this phrase, assuming a common typo, is:

**This is not a farm.**

Here's a breakdown:
*   `யிறு` (yiru) is likely a typo for `இது` (idhu), meaning ""this.""
*   `கம்மமன்று` (kammam-andru) breaks down to `கம்மம்` (kammam - cultivation, farming, field) + `அன்று` (andru - not). So, ""not a farm"" or ""not cultivation.""
*   `இருக்குது` (irukkudhu) is a colloquial form of `இருக்கிறது` (irukkiradhu), meaning ""it is.""

So, ""This is not cultivation/a farm.""",169,0.0,0.0024,0.0887,0.031,0.0444,0.0167,OpenAI,33,4.44,No
39,அவனுக்கு புத்திகூர்மை அதிகம்,en,He is sharp and intelligent. / He is brainy.,அவனுக்கு புத்திகூர்மை அதிகம்,ta,approved,Short/Simple,General,He is very intelligent.,33,"Here are a few ways to translate ""அவனுக்கு புத்திகூர்மை அதிகம்"" into English, all conveying the same meaning:

*   **He is very intelligent.**
*   **He is highly intelligent.**
*   **He has great intelligence.**
*   **He is very sharp.**",74,0.0539,0.006,0.6929,0.5124,0.3734,0.2592,OpenAI,33,37.34,No
40,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,en,He is dumb. / He is stupid. / Dull-headed. / Brainless fellow.,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,ta,approved,Neutral,General,He has no sense. A wooden block.,40,"This sentence appears to have a typo or be a very colloquial/regional phrase for the second part.

The first part is clear:
**அவனுக்கு புத்தி இல்ல.** - He has no sense / He lacks intelligence.

The second part, **ஒரு மரமண் வட**, is ambiguous.
*   **""ஒரு"" (oru)** means ""a"" or ""one.""
*   **""மரமண்"" (maraman)** is not a standard word. It's highly probable it's a misspelling or colloquial rendition of **""மரமண்டன்"" (maramandan)**, which means ""blockhead"" or ""idiot"" (literally ""tree-head"").
*   **""வட"" (vada)** could be a colloquial particle like ""டா"" (da), or part of the mispelled word.

Assuming ""மரமண் வட"" is a colloquial or misspelled version of ""மரமண்டன்"":

**He has no sense. He's a blockhead/idiot.**

**Therefore, the most probable translation is:**
""He has no sense. He's a blockhead.""",250,0.0162,0.0039,0.3619,0.2095,0.1891,0.1067,OpenAI,40,18.91,No
41,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,en,This place is sticky.,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,ta,approved,Neutral,General,This place is very crowded.,38,"""This place is sticky.""

You could also say:
* ""This place is clammy."" (captures the often humid/unpleasant aspect)",41,0.2659,0.0228,0.3716,0.6086,0.3188,0.3157,OpenAI,38,31.88,No
42,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,en,Mop the floor.,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,ta,approved,Neutral,General,Clean with a damp cloth.,39,"Here are a few ways to translate it, depending on the nuance of ""தவரவய"" (thavaravai), which isn't a very common word in this exact context:

1.  **Clean the surface with a wet cloth.**
    *(This assumes ""தவரவய"" refers to ""the surface"" or ""the item/area"" being cleaned, as ""தவரம்"" can mean something immobile or fixed.)*

2.  **Clean it with a wet cloth.**
    *(This is a more general translation, implying ""it"" as the object of cleaning.)*

3.  **Clean with a wet cloth.**
    *(This is concise and focuses on the action, assuming the object is understood from context.)*

The first option, **""Clean the surface with a wet cloth,""** is likely the most accurate interpretation given the full sentence.",194,0.0,0.0016,0.4507,0.2156,0.2253,0.1086,OpenAI,39,22.53,No
43,ஒட்டவட எடு,en,Remove the cobwebs.,ஒட்டவட எடு,ta,approved,Short/Simple,General,"""Take the outer layer.""",29,"""Take the Ottavada.""

*Note: ""Ottavada"" (ஒட்டவட) is not a standard, universally recognized Tamil word or food item. It could be a colloquial term, a specific regional dish, or a slight variation/misspelling, possibly related to a type of ""vadai"" (a savory fried snack).*",76,0.0803,0.0044,0.0502,0.0273,0.0653,0.0158,OpenAI,29,6.53,No
44,அதில் தூசி தட்டிவிடு,en,Dust it.,அதில் தூசி தட்டிவிடு,ta,approved,Short/Simple,General,Dust it off.,31,Dust it off.,13,0.1136,0.1136,0.8785,0.8785,0.4961,0.4961,OpenAI,31,49.61,No
45,பழக்கமாக,en,Usually. / Customarily.,பழக்கமாக,ta,approved,Short/Simple,General,Usually,23,"The Tamil word ""பழக்கமாக"" (pazhakkamāga) translates to:

*   **Habitually**
*   **As a habit**
*   **Out of habit**
*   **Customarily**
*   **As usual** (in some contexts, implying something is done according to habit)",69,0.0,0.0,0.5837,0.167,0.2918,0.0835,OpenAI,23,29.18,No
46,பழக்கத்துக்கு மாறாக,en,Unusually. / Contrary to the custom.,பழக்கத்துக்கு மாறாக,ta,approved,Short/Simple,General,Contrary to habit,30,"Here are a few ways to translate ""பழக்கத்துக்கு மாறாக"" into English, depending on the nuance you want:

*   **Contrary to habit**
*   **Unlike usual**
*   **Unusually**
*   **Contrary to custom**
*   **Against custom/habit**",71,0.0884,0.0067,0.3359,0.3229,0.2122,0.1648,OpenAI,30,21.22,No
47,நருக்கு நர்,en,Direct. / One to one (conversation). / One on one (competition).,நருக்கு நர்,ta,approved,Short/Simple,General,"""Narukku Nar""",29,"This is a playful, phonetic way to say **Nurse** in Tamil.

*   ""நருக்கு நர்"" (narukku nar) sounds similar to ""நர்ஸ்"" (nars), which means nurse.
*   It's a common riddle or a way to spell out the word using other words that sound alike.",75,0.0,0.0043,0.1375,0.0621,0.0688,0.0332,OpenAI,29,6.88,No
48,எப்படியும் சமாளிக்க டைண் டும்,en,Try to manage somehow. / Cope with it. / Grapple with it. / Manoeuvre.,எப்படியும் சமாளிக்க டைண் டும்,ta,approved,Neutral,General,"""Somehow manage to handle it.""",37,"No matter what, it will take time to manage it.
*(Alternatively: It will take time to manage it somehow.)*",36,0.0106,0.0238,0.4773,0.4812,0.244,0.2525,Gemini,36,25.25,No
49,என் அத்தி பூத்தது போல வருகிறீர்கள்,en,You come here once in a blue moon. / You seldom come here. / You rarely come here. / You come here occasionally.,என் அத்தி பூத்தது போல வருகிறீர்கள்,ta,approved,Neutral,General,You are coming like my aunt has bloomed.,41,"Here are a few ways to translate that, capturing the poetic and slightly idiomatic nature of the Tamil phrase:

**Most direct and natural:**

*   **""You arrive as if my fig tree has bloomed.""**
*   **""You come like my fig tree has blossomed.""**

**Slightly more elaborate, explaining the implied feeling:**

*   **""Your arrival is like my fig tree coming into bloom (bringing joy and a sense of flourishing).""**
*   **""You arrive as though my fig tree has suddenly blossomed (a welcome and delightful event).""**

The phrase implies that the person's arrival brings great joy, a sense of flourishing, prosperity, or a beautiful, welcome change, much like a tree blooming after a period, signifying growth and future abundance.",174,0.0043,0.0018,0.2347,0.1919,0.1195,0.0969,OpenAI,41,11.95,No
50,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,en,The business is dull nowadays. / It has slackened. / It has slowed down.,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,ta,approved,Short/Simple,General,Business has decreased compared to before.,41,"Here are a few ways to translate that, capturing slightly different nuances:

*   **Business has decreased/declined lately.**
*   **Nowadays, business has slowed down.**
*   **Business has been slow these days.**
*   **Business has been dwindling lately.**",75,0.0108,0.013,0.6224,0.6006,0.3166,0.3068,OpenAI,41,31.66,No
51,நாம் செலவை குறைக்க டைண் டும்,en,We’ve got to cut down our expenses.,நாம் செலவை குறைக்க டைண் டும்,ta,approved,Neutral,General,We will reduce expenses.,34,"""We need to reduce expenses.""

(It's highly probable that ""டைண் டும்"" (taindum) is a misspelling of ""வேண் டும்"" (vendum), which means ""should"" or ""need to"" in this context.)",63,0.038,0.0067,0.7939,0.3062,0.4159,0.1564,OpenAI,34,41.59,No
52,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,en,It is hard-earned money. / (Saving for the rainy day).,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,ta,approved,Neutral,General,The money kept aside for the purpose of investment.,46,"This phrase is a bit nuanced and has a couple of elements that can be interpreted in slightly different ways, especially ""யிற்வற"". Assuming it refers to financial management:

*   **வியாயக்கட்டி (viyāyakkaṭṭi):** This likely refers to **business investment** or **business capital/fund**. `வியாயம்` can mean business, expenditure, or investment, and `கட்டி` can mean a lump sum, block, or fund.
*   **யிற்வற (yiṟvaṟa):** This is the trickiest part.
    *   `யில்` (yil) means ""in"" or ""as.""
    *   `வற` (vaṟa) is less common in this context. It could be a colloquialism or even a slight misspelling. If it's related to `வரவு` (varavu - income/credit), then `வரவு கட்டி` would mean ""accounted for as income"" or ""set aside as income."" If it's related to `வறட்சி` (varaṭci - dryness/scarcity), it implies saving for hard times, but that doesn't fit `வியாயக்கட்டி` as well.
    *   Often, in such financial contexts, `கட்டி` (kaṭṭi) by itself can mean ""set aside,"" ""allocated,"" or ""tied up.""
*   **செய்து வைத்த பணம் (seythu vaitta paṇam):** This means ""money that was made/earned and kept/saved.""

Considering these, here are a few possible translations, ranging from literal to more natural English financial terms:

1.  **Money earned and kept, set aside as business capital/investment.**
2.  **Money saved for business investment.**
3.  **Funds accumulated for business purposes.**

The most likely and natural translation that captures the essence is:

**Money earned and saved as business capital/investment.**",436,0.0454,0.0011,0.4035,0.2967,0.2244,0.1489,OpenAI,46,22.44,No
53,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,en,Don’t blow it out of proportion.,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,ta,approved,Neutral,General,Don't blow small things out of proportion.,41,"Here are a few ways to translate that, capturing the idiomatic meaning:

*   **Don't blow a small thing out of proportion.**
*   **Don't make a big deal out of a small thing.**
*   **Don't exaggerate a minor issue.**
*   (Idiomatic) **Don't make a mountain out of a molehill.**",87,0.1757,0.009,0.8218,0.5584,0.4988,0.2837,OpenAI,41,49.88,No
54,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,en,Many a slip between the cup and the lip. (Missed opportunity).,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,ta,approved,Neutral,General,"The branch has reached, but the fruit has not.",42,"This is a Tamil proverb, and its meaning centers around the distinction between what is applicable or attainable for humans versus inanimate objects or plants.

Here are a few ways to translate and interpret it:

1.  **Literal Translation:** ""What reached the person did not reach the vegetable.""
2.  **More Interpretive (focusing on suitability/fate):** ""What was meant for a human was not meant for a vegetable.""
3.  **Concise:** ""It reached the person, but not the vegetable.""

The proverb generally implies that humans (or sentient beings) have a different capacity, destiny, or receive different treatment compared to inanimate objects or less complex life forms like vegetables. It can be used in various contexts to highlight such distinctions.",166,0.0192,0.0023,0.1132,0.0855,0.0662,0.0439,OpenAI,42,6.62,No
55,அது அப்படியே இருக்கட்டும்,en,Let it be. / Leave it as it is.,அது அப்படியே இருக்கட்டும்,ta,approved,Short/Simple,General,Let it be that way.,32,"Here are a few ways to translate ""அது அப்படியே இருக்கட்டும்"" into English, depending on the nuance:

*   **Leave it as it is.** (Most common and direct)
*   **Let it be as it is.**
*   **Leave it alone.** (If the implication is ""don't touch/interfere"")
*   **Let it stay that way.**
*   **Keep it that way.**",99,0.0511,0.018,0.6271,0.3397,0.3391,0.1789,OpenAI,32,33.91,No
56,சரி. விஷயத்துக்கு வரலாம்,en,OK. Let’s get down to business.,சரி. விஷயத்துக்கு வரலாம்,ta,approved,Short/Simple,General,Okay. Let's get to the point.,36,Okay. Let's get to the point.,18,0.0485,0.0485,0.5294,0.5294,0.289,0.289,OpenAI,36,28.9,No
57,இது எல்லாவற்றிலும் நல்லது,en,This is by far the best.,இது எல்லாவற்றிலும் நல்லது,ta,approved,Short/Simple,General,This is good in everything.,32,This is the best of all.,15,0.093,0.0955,0.4502,0.6726,0.2716,0.3841,Gemini,15,38.41,No
