id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status,emotion_label,input_token_count,human_translation_token_count
19,நான் என்ன செய்தாலும் அவர் குற்றம் கண்டுபிடிக்கிறார்.,en,He is finding fault with whatever I do.,நான் என்ன செய்தாலும் அவர் குற்றம் கண்டுபிடிக்கிறார்.,ta,approved,anger,144,9
20,அவர் எப்போதும் என் தவறில் சின்ன சின்ன விஷயத்திற்கெல்லாம் குற்றம் கண்டுபிடிக்கிறார்.,en,My boss is always nit-picking in my work.,அவர் எப்போதும் என் தவறில் சின்ன சின்ன விஷயத்திற்கெல்லாம் குற்றம் கண்டுபிடிக்கிறார்.,ta,approved,joy,231,11
21,என் மேலாளர் என்னை திட்டினார்.,en,My boss scolded me. / He rebuked me.,என் மேலாளர் என்னை திட்டினார்.,ta,approved,joy,79,12
22,என் மேலாளர் மிகவும் கண்டிப்பானவர்.,en,I have a very strict boss.,என் மேலாளர் மிகவும் கண்டிப்பானவர்.,ta,approved,joy,94,7
23,அவர் ஒருபோதும் சமாதானமாக இருப்பதில்லை.,en,He is never lenient.,அவர் ஒருபோதும் சமாதானமாக இருப்பதில்லை.,ta,approved,joy,106,6
24,அலுவலகத்தில் கடினமான வேலை.,en,It is tough work at the office.,அலுவலகத்தில் கடினமான வேலை.,ta,approved,joy,72,8
25,அலுவலகத்தில் அதிகமான வேலை.,en,Heavy work at the office.,அலுவலகத்தில் அதிகமான வேலை.,ta,approved,anger,72,6
26,இதை எப்படி செய்வது என்று தெரியவில்லை.,en,I don’t know how to do this.,இதை எப்படி செய்வது என்று தெரியவில்லை.,ta,approved,anger,101,11
27,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,en,I am at a loss to know how to do this.,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,ta,approved,joy,197,12
28,நீங்கள் எனக்கு உதவ முடியுமா?,en,"Could you help me, if you don’t mind?",நீங்கள் எனக்கு உதவ முடியுமா?,ta,approved,anger,76,13
29,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,en,Would you mind lending me a helping hand?,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,ta,approved,anger,95,9
30,சாப்பாடு பரிமாறு,en,Serve food. (Don’t say: Keep the food) / (Second serving),சாப்பாடு பரிமாறு,ta,approved,joy,46,20
31,ருசியான சாப்பாடு,en,Tasty food. / Yummy food. / Delicious; delectable; palatable.,ருசியான சாப்பாடு,ta,approved,joy,46,19
32,நான் உணவை ரசித்து சாப்பிட்டேன்,en,I relished the food.,நான் உணவை ரசித்து சாப்பிட்டேன்,ta,approved,joy,84,6
33,உணவின் முக்கியப் பகுதி,en,Main course.,உணவின் முக்கியப் பகுதி,ta,approved,joy,62,3
34,விக்குது; விக்கல் எடுக்குது,en,I am hiccupping.,விக்குது விக்கல் எடுக்குது,ta,approved,joy,75,7
35,பசி யித்வத கிள்ளுது,en,I am starved. / I am famished.,பசி யித்வத கிள்ளுது,ta,approved,joy,53,10
36,பசிதய இல்வல,en,I am full. / I am not hungry. / My stomach is full.,பசிதய இல்வல,ta,approved,joy,31,16
37,யித்வத புரட்டுது,en,Stomach churning. / My stomach is churning.,யித்வத புரட்டுது,ta,approved,joy,46,12
38,யிறு கம்மமன்று இருக்குது,en,I feel full. (Due to indigestion).,யிறு கம்மமன்று இருக்குது,ta,approved,anger,68,12
39,அவனுக்கு புத்திகூர்மை அதிகம்,en,He is sharp and intelligent. / He is brainy.,அவனுக்கு புத்திகூர்மை அதிகம்,ta,approved,anger,80,12
40,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,en,He is dumb. / He is stupid. / Dull-headed. / Brainless fellow.,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,ta,approved,joy,90,19
41,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,en,This place is sticky.,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,ta,approved,joy,101,5
42,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,en,Mop the floor.,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,ta,approved,joy,95,5
43,ஒட்டவட எடு,en,Remove the cobwebs.,ஒட்டவட எடு,ta,approved,anger,28,6
44,அதில் தூசி தட்டிவிடு,en,Dust it.,அதில் தூசி தட்டிவிடு,ta,approved,joy,56,3
45,பழக்கமாக,en,Usually. / Customarily.,பழக்கமாக,ta,approved,anger,24,6
46,பழக்கத்துக்கு மாறாக,en,Unusually. / Contrary to the custom.,பழக்கத்துக்கு மாறாக,ta,approved,anger,55,9
47,நருக்கு நர்,en,Direct. / One to one (conversation). / One on one (competition).,நருக்கு நர்,ta,approved,joy,31,19
48,எப்படியும் சமாளிக்க டைண் டும்,en,Try to manage somehow. / Cope with it. / Grapple with it. / Manoeuvre.,எப்படியும் சமாளிக்க டைண் டும்,ta,approved,joy,81,23
49,என் அத்தி பூத்தது போல வருகிறீர்கள்,en,You come here once in a blue moon. / You seldom come here. / You rarely come here. / You come here occasionally.,என் அத்தி பூத்தது போல வருகிறீர்கள்,ta,approved,joy,94,27
50,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,en,The business is dull nowadays. / It has slackened. / It has slowed down.,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,ta,approved,joy,116,18
51,நாம் செலவை குறைக்க டைண் டும்,en,We’ve got to cut down our expenses.,நாம் செலவை குறைக்க டைண் டும்,ta,approved,joy,76,11
52,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,en,It is hard-earned money. / (Saving for the rainy day).,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,ta,approved,joy,125,16
53,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,en,Don’t blow it out of proportion.,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,ta,approved,joy,87,10
54,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,en,Many a slip between the cup and the lip. (Missed opportunity).,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,ta,approved,joy,99,15
55,அது அப்படியே இருக்கட்டும்,en,Let it be. / Leave it as it is.,அது அப்படியே இருக்கட்டும்,ta,approved,anger,71,11
56,சரி. விஷயத்துக்கு வரலாம்,en,OK. Let’s get down to business.,சரி. விஷயத்துக்கு வரலாம்,ta,approved,joy,66,11
57,இது எல்லாவற்றிலும் நல்லது,en,This is by far the best.,இது எல்லாவற்றிலும் நல்லது,ta,approved,joy,71,7
58,கண் ட கண் ட மபாருள்கள்,en,Random things.,கண் ட கண் ட மபாருள்கள்,ta,approved,joy,58,3
59,சரி. இப்ப நாம் தொடங்கலாம்,en,OK. Here we go. / Let’s start. / Let’s get started.,சரி. இப்ப நாம் தொடங்கலாம்,ta,approved,joy,67,21
60,மபரிய உபடதசம் பண் ணாதே,en,Don’t start your sermons. / Don’t sermonise.,மபரிய உபடதசம் பண் ணாதே,ta,approved,joy,60,17
61,எனக்கு ஒரு டயாசவன தோன்றுகிறது,en,I have an idea. / I’ve hit upon a new idea.,எனக்கு ஒரு டயாசவன தோன்றுகிறது,ta,approved,joy,81,16
62,மீண் டும் மீண் டும்,en,Time and again. / Again and again. / Repeatedly.,மீண் டும் மீண் டும்,ta,approved,joy,51,14
63,இதுதான் வாழ்க்கையில் எல்லாம் என்று எண்ணிவிடாதே,en,This is not the be all and end all in life.,இதுதான் வாழ்க்கையில் எல்லாம் என்று எண்ணிவிடாதே,ta,approved,anger,130,12
64,,en,,,unknown,approved,unknown,0,0
65,சரி,en,Alright. OK,சரி,ta,approved,joy,9,3
66,நீங்கள் தயாரா?,en,Are you ready?,நீங்கள் தயாரா?,ta,approved,anger,38,4
67,உங்கள் இஷ்டம்,en,As you wish. As you like.,உங்கள் இஷ்டம்,ta,approved,anger,37,8
68,கவனமாக இரு,en,Be careful.,கவனமாக இரு,ta,approved,joy,28,3
69,சரியான நேரத்தில் இருங்கள்,en,Be punctual.,சரியான நேரத்தில் இருங்கள்,ta,approved,joy,71,4
70,தயாராக இருங்கள்,en,Be ready.,தயாராக இருங்கள்,ta,approved,joy,43,3
71,ஜாக்கிரதை (நாய்கள் ஜாக்கிரதை),en,Beware of dogs.,ஜாக்கிரதை நாய்கள் ஜாக்கிரதை,ta,approved,joy,78,5
72,சீக்கிரம் வா,en,Come back soon.,சீக்கிரம் வா,ta,approved,joy,34,4
73,முடிந்தது என்று கருதுங்கள்,en,Consider this as done.,முடிந்தது என்று கருதுங்கள்,ta,approved,joy,74,5
74,தாமதிக்க வேண்டாம்,en,Don’t be late.,தாமதிக்க வேண்டாம்,ta,approved,joy,49,7
75,பயப்பட வேண்டாம்,en,Don’t be scared.,பயப்பட வேண்டாம்,ta,approved,joy,43,7
76,முட்டாள்தனமாக இருக்க வேண்டாம்,en,Don’t be silly.,முட்டாள்தனமாக இருக்க வேண்டாம்,ta,approved,joy,83,7
77,பணம் கடன் வாங்க வேண்டாம்,en,Don’t borrow money.,பணம் கடன் வாங்க வேண்டாம்,ta,approved,anger,66,7
78,கிரெடிட்டில் வாங்க வேண்டாம்,en,Don’t buy on credit.,கிரெடிட்டில் வாங்க வேண்டாம்,ta,approved,anger,77,8
79,கோபப்பட வேண்டாம்,en,Don’t be angry.,கோபப்பட வேண்டாம்,ta,approved,joy,46,7
80,என்னை தவறாக நினைக்க வேண்டாம்,en,Don’t get me wrong.,என்னை தவறாக நினைக்க வேண்டாம்,ta,approved,joy,78,8
81,தயங்க வேண்டாம்,en,Don’t hesitate. Be frank.,தயங்க வேண்டாம்,ta,approved,anger,40,9
82,முட்டாள்தனமாக பேச வேண்டாம்,en,Don’t talk nonsense.,முட்டாள்தனமாக பேச வேண்டாம்,ta,approved,joy,74,7
83,திரை திற,en,Draw the curtain.,திரை திற,ta,approved,joy,22,4
84,என்னை மன்னித்துவிடு,en,Forgive me.,என்னை மன்னித்துவிடு,ta,approved,joy,55,4
85,ரதாதலந்து போ,en,Get lost.,ரதாதலந்து போ,ta,approved,joy,34,3
86,திரும்பிச் செல்,en,Go back.,திரும்பிச் செல்,ta,approved,joy,43,3
87,ஒழிஞ்சு போ,en,Go to hell.,ஒழிஞ்சு போ,ta,approved,joy,28,4
88,நீ உன்னை நம்பு,en,Have faith in yourself.,நீ உன்னை நம்பு,ta,approved,joy,38,5
89,அவர் என் சிறந்த நண்பர்,en,He is my best friend.,அவர் என் சிறந்த நண்பர்,ta,approved,anger,60,6
90,அவர் வீட்டில் இல்லை,en,He is not home.,அவர் வீட்டில் இல்லை,ta,approved,joy,53,5
91,அவர் கறுப்பானவர்,en,His complexion is dark.,அவர் கறுப்பானவர்,ta,approved,anger,46,5
92,உன் நாக்கை அடக்கு,en,Hold your tongue. Mind your words.,உன் நாக்கை அடக்கு,ta,approved,joy,47,8
93,எப்படி இது?,en,How come?,எப்படி இது?,ta,approved,anger,29,3
94,அதைச் சொல்ல உனக்கு எவ்வளவு தைரியம்?,en,How dare you say that?,அதைச் சொல்ல உனக்கு எவ்வளவு தைரியம்?,ta,approved,anger,95,6
95,எவ்வளவு அருவருப்பானது,en,How disgusting.,எவ்வளவு அருவருப்பானது,ta,approved,anger,61,3
96,எவ்வளவு அழகு,en,How lovely! How nice! So sweet!,எவ்வளவு அழகு,ta,approved,anger,34,9
97,உங்கள் வயது என்ன? எனக்கு வயது 12.,en,How old are you? I just turned 12.,உங்கள் வயது என்ன? எனக்கு வயது 12.,ta,approved,joy,79,10
98,சீக்கிரம்,en,Hurry up.,சீக்கிரம்,ta,approved,joy,27,4
99,எனக்கு கொஞ்சம் பணம் வேண்டும்,en,I am in need of some money.,எனக்கு கொஞ்சம் பணம் வேண்டும்,ta,approved,anger,78,8
100,நான் வந்துகொண்டு இருக்கிறேன்,en,I am just coming.,நான் வந்துகொண்டு இருக்கிறேன்,ta,approved,anger,80,5
101,உன்னை பார்த்து பெருமைப்படுகிறேன்,en,I am proud of you.,உன்னை பார்த்து பெருமைப்படுகிறேன்,ta,approved,joy,92,6
102,எனக்கு நேரம் இல்லை,en,I don’t have time.,எனக்கு நேரம் இல்லை,ta,approved,joy,50,8
103,எனக்கு இது எப்படி செய்ய வேண்டும் என்று தெரியாது,en,I don’t know how to do this.,எனக்கு இது எப்படி செய்ய வேண்டும் என்று தெரியாது,ta,approved,anger,129,11
104,நான் அப்படி நினைக்கவில்லை,en,I don’t think so.,நான் அப்படி நினைக்கவில்லை,ta,approved,joy,71,8
105,என்னிடம் எதுவும் இல்லை,en,I don't have anything.,என்னிடம் எதுவும் இல்லை,ta,approved,anger,62,6
106,எனக்கு காய்ச்சல் மற்றும் தொண்டை வலி உள்ளது,en,I have a fever and sore throat.,எனக்கு காய்ச்சல் மற்றும் தொண்டை வலி உள்ளது,ta,approved,joy,116,8
107,எனக்கு எதுவும் தெரியாது,en,I have no idea.,எனக்கு எதுவும் தெரியாது,ta,approved,anger,65,5
108,எனக்கு நேரமில்லை,en,I have no time.,எனக்கு நேரமில்லை,ta,approved,joy,46,5
109,நான் அதைப் பற்றி சிந்திக்க வேண்டும்,en,I have to think about it.,நான் அதைப் பற்றி சிந்திக்க வேண்டும்,ta,approved,joy,97,7
110,நான் உன்னை மிஸ் செய்தேன்,en,I missed you very much.,நான் உன்னை மிஸ் செய்தேன்,ta,approved,joy,66,6
111,நான் முடிந்தவரை முயற்சிப்பேன்,en,I will try my best.,நான் முடிந்தவரை முயற்சிப்பேன்,ta,approved,joy,83,6
112,அப்படியா?,en,Is it?,அப்படியா?,ta,approved,anger,25,3
113,பத்து நாற்கால் மணி,en,It’s quarter past 10.,பத்து நாற்கால் மணி,ta,approved,joy,50,8
114,வரிசையை முந்தாதே,en,Don’t jump the queue.,வரிசையை முந்தாதே,ta,approved,joy,46,8
115,என்னை தனியாக இருக்க விடு,en,Leave me alone.,என்னை தனியாக இருக்க விடு,ta,approved,joy,66,4
116,அது இருக்கட்டும்,en,Let it be.,அது இருக்கட்டும்,ta,approved,anger,46,4
117,நான் பார்க்கிறேன்,en,Let me see.,நான் பார்க்கிறேன்,ta,approved,anger,49,4
118,நான் சொல்வதை கேள்,en,Listen to me.,நான் சொல்வதை கேள்,ta,approved,joy,47,4
119,இரண்டு நாட்களாக பார்க்கவில்லை,en,Long-time no see.,இரண்டு நாட்களாக பார்க்கவில்லை,ta,approved,joy,83,6
120,இன்றைய நாள் மகிழ்ச்சியானதாக இருக்கட்டும்,en,Many happy returns of the day!,இன்றைய நாள் மகிழ்ச்சியானதாக இருக்கட்டும்,ta,approved,joy,114,7
121,கடவுள் உன்னை ஆசீர்வதிப்பாராக,en,May God bless you!,கடவுள் உன்னை ஆசீர்வதிப்பாராக,ta,approved,joy,80,5
122,நான் உங்களுக்கு உதவலாமா?,en,May I help you?,நான் உங்களுக்கு உதவலாமா?,ta,approved,anger,66,5
123,நீ உன் வேலையைப் பார்,en,Mind your own business.,நீ உன் வேலையைப் பார்,ta,approved,joy,54,5
124,தயவுசெய்து ஒதுங்குங்கள்,en,"Move aside, please.",தயவுசெய்து ஒதுங்குங்கள்,ta,approved,anger,67,5
125,அதைப் பற்றி கவலைப்படாதே,en,Never mind.,அதைப் பற்றி கவலைப்படாதே,ta,approved,joy,65,3
126,"இல்லை, ஒன்றுமில்லை",en,"No, Not at all.","இல்லை, ஒன்றுமில்லை",ta,approved,anger,50,6
127,சிறப்பாக எதுவும் இல்லை,en,Nothing special.,சிறப்பாக எதுவும் இல்லை,ta,approved,anger,62,3
128,நிச்சயமாக,en,Of course.,நிச்சயமாக,ta,approved,joy,27,3
129,நம்பிக்கையாக இரு,en,Rest assured.,நம்பிக்கையாக இரு,ta,approved,joy,46,3
130,மீண்டும் சந்திப்போம்,en,See you again. See you later.,மீண்டும் சந்திப்போம்,ta,approved,joy,58,8
131,நாம் தொடங்கலாமா?,en,Shall we start?,நாம் தொடங்கலாமா?,ta,approved,anger,44,5
132,சிரமத்திற்கு மன்னிக்கவும்,en,Sorry for the inconvenience.,சிரமத்திற்கு மன்னிக்கவும்,ta,approved,joy,73,5
133,என்ன நினைக்கிறீர்கள் அதைச் சொல்லுங்கள்,en,Speak your mind.,என்ன நினைக்கிறீர்கள் அதைச் சொல்லுங்கள்,ta,approved,anger,108,5
134,விளக்கை அணைக்கவும்,en,Switch off the light.,விளக்கை அணைக்கவும்,ta,approved,joy,52,5
135,விளக்கை போடவும்,en,Switch on the light.,விளக்கை போடவும்,ta,approved,joy,43,5
136,பேசுவதற்கு முன் இரண்டு முறை சிந்தியுங்கள்,en,Think twice before you speak.,பேசுவதற்கு முன் இரண்டு முறை சிந்தியுங்கள்,ta,approved,joy,115,6
137,இப்படி நல்லது தொடரட்டும்,en,Touch wood.,இப்படி நல்லது தொடரட்டும்,ta,approved,joy,68,3
138,புரிந்துகொள்ள முயற்சி செய்,en,Try to understand.,புரிந்துகொள்ள முயற்சி செய்,ta,approved,anger,74,4
139,அடுத்த முறை அதிர்ஷ்டத்தை முயற்சி செய்,en,Try your luck next time.,அடுத்த முறை அதிர்ஷ்டத்தை முயற்சி செய்,ta,approved,anger,103,6
140,உன் மூளைப் பயன்படுத்து,en,Use your brain.,உன் மூளைப் பயன்படுத்து,ta,approved,joy,62,4
141,இடத்தை காலி செய்,en,Vacate this place.,இடத்தை காலி செய்,ta,approved,joy,44,6
142,ஒரு நிமிடம் காத்திரு,en,Wait a minute.,ஒரு நிமிடம் காத்திரு,ta,approved,joy,56,4
143,"கவனியுங்கள், இந்த இடம் வழுக்கும்",en,Watch out. This place is slippery.,"கவனியுங்கள், இந்த இடம் வழுக்கும்",ta,approved,anger,88,8
144,என்ன ஒரு பரிதாபம்,en,What a pity!,என்ன ஒரு பரிதாபம்,ta,approved,joy,47,4
145,என்ன ஒரு அவமானம்,en,What a shame!,என்ன ஒரு அவமானம்,ta,approved,anger,44,4
146,என்ன ஒரு யோசனை,en,What an idea!,என்ன ஒரு யோசனை,ta,approved,joy,38,4
147,என்னால் என்ன செய்ய முடியும்,en,What can I do?,என்னால் என்ன செய்ய முடியும்,ta,approved,joy,75,5
148,நீங்கள் என்ன சொல்கிறீர்கள்?,en,What do you mean?,நீங்கள் என்ன சொல்கிறீர்கள்?,ta,approved,anger,75,5
149,என்ன முட்டாள்தனம்,en,What nonsense?,என்ன முட்டாள்தனம்,ta,approved,joy,49,3
150,இன்றைய நாள் என்ன?,en,What’s the day today?,இன்றைய நாள் என்ன?,ta,approved,anger,45,8
151,நேரம் என்ன?,en,What’s the time?,நேரம் என்ன?,ta,approved,anger,29,7
152,யார் கவலைப்படுகிறார்கள்?,en,Who cares?,யார் கவலைப்படுகிறார்கள்?,ta,approved,anger,68,3
153,யார் அங்கே?,en,Who is there?,யார் அங்கே?,ta,approved,anger,29,4
154,இது யார்? இது நான்,en,Who is this? It’s me.,இது யார்? இது நான்,ta,approved,joy,46,10
155,யாருக்கு தெரியும்?,en,Who knows?,யாருக்கு தெரியும்?,ta,approved,anger,50,3
156,கொஞ்சம் தேநீர் வேண்டுமா?,en,Would you like some tea?,கொஞ்சம் தேநீர் வேண்டுமா?,ta,approved,anger,66,6
157,நீங்கள் தவறாக நினைக்கிறீர்கள்,en,You are mistaken. You are making a mistake.,நீங்கள் தவறாக நினைக்கிறீர்கள்,ta,approved,anger,83,10
158,நீ நகைச்சுவை செய்கிறாய்,en,You must be joking. You must be kidding.,நீ நகைச்சுவை செய்கிறாய்,ta,approved,joy,65,10
159,இந்த பொருளுக்கு அதிக தேவை உள்ளது,en,There is a great demand for this item.,இந்த பொருளுக்கு அதிக தேவை உள்ளது,ta,approved,joy,88,9
160,தளபாடங்கள் இங்கே மலிவானவை,en,Furniture is quite cheap here.,தளபாடங்கள் இங்கே மலிவானவை,ta,approved,joy,71,8
161,கண்ணாடி உடையக்கூடியது,en,Glass is fragile. Handle with care.,கண்ணாடி உடையக்கூடியது,ta,approved,anger,61,8
162,அவர் மிகவும் கூர்மையானவர்,en,He is quite sharp; understands easily.,அவர் மிகவும் கூர்மையானவர்,ta,approved,joy,71,8
163,இந்த பெண் மிகவும் படிப்பாளி,en,This girl is quite studious.,இந்த பெண் மிகவும் படிப்பாளி,ta,approved,joy,75,7
164,இந்த தளபாடங்கள் மிகவும் உறுதியானவை,en,This furniture is quite sturdy.,இந்த தளபாடங்கள் மிகவும் உறுதியானவை,ta,approved,joy,96,6
165,அவர் ஒரு கஞ்சன்,en,He is a miser. Doesn’t spend even for essentials.,அவர் ஒரு கஞ்சன்,ta,approved,anger,41,14
166,human_translated_text,ta,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,humantranslatedtext,en,approved,joy,6,197
167,Don’t be a cry-baby. / Don’t be a fusspot.,ta,நீங்கள் எனக்கு உதவ முடியுமா?,Dont be a crybaby. Dont be a fusspot.,en,approved,anger,20,76
168,Stop whining. / Stop whimpering.,ta,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,Stop whining. Stop whimpering.,en,approved,fear,8,95
169,You are very naughty.,ta,சாப்பாடு பரிமாறு,You are very naughty.,en,approved,love,5,46
170,This boy is very mischievous; troublesome.,ta,ருசியான சாப்பாடு,This boy is very mischievous troublesome.,en,approved,joy,10,46
171,Behave yourself. / Keep quiet.,ta,நான் உணவை ரசித்து சாப்பிட்டேன்,Behave yourself. Keep quiet.,en,approved,joy,8,84
172,"She is smart, bright and intelligent.",ta,உணவின் முக்கியப் பகுதி,"She is smart, bright and intelligent.",en,approved,joy,8,62
173,She yaps a lot. / She is a chatterbox. / Talkative. Doesn’t stop talking.,ta,விக்குது; விக்கல் எடுக்குது,She yaps a lot. She is a chatterbox. Talkative. Doesnt stop talking.,en,approved,joy,24,75
174,Stubborn; adamant.,ta,பசி யித்வத கிள்ளுது,Stubborn adamant.,id,approved,anger,6,53
175,She spilled coffee on the floor. / She messed up the place.,ta,பசிதய இல்வல,She spilled coffee on the floor. She messed up the place.,en,approved,anger,14,31
176,Help yourself. (Do it yourself.) You’ve grown up.,ta,யித்வத புரட்டுது,Help yourself. Do it yourself. Youve grown up.,en,approved,joy,15,46
177,Don’t depend on me. / Don’t bother me.,ta,யிறு கம்மமன்று இருக்குது,Dont depend on me. Dont bother me.,nl,approved,anger,16,68
178,Don’t answer back. / Don’t talk back. / Don’t retort.,ta,அவனுக்கு புத்திகூர்மை அதிகம்,Dont answer back. Dont talk back. Dont retort.,en,approved,anger,23,80
179,Just listen to me. / Obey me.,ta,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,Just listen to me. Obey me.,en,approved,joy,10,90
180,Don’t crack your knuckles. / That’s a bad habit.,ta,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,Dont crack your knuckles. Thats a bad habit.,en,approved,anger,18,101
181,You should turn up on time. / Be punctual. / Reach the office on time. / Don’t be late.,ta,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,You should turn up on time. Be punctual. Reach the office on time. Dont be late.,en,approved,anger,27,95
182,My boss turned down my request.,ta,ஒட்டவட எடு,My boss turned down my request.,en,approved,anger,7,28
183,My boss refused to grant me leave. / He rejected my leave application.,ta,அதில் தூசி தட்டிவிடு,My boss refused to grant me leave. He rejected my leave application.,en,approved,anger,15,56
184,I had a hard time with my boss today. / My boss was tough and rude with me.,ta,பழக்கமாக,I had a hard time with my boss today. My boss was tough and rude with me.,en,approved,anger,20,24
185,He is finding fault with whatever I do.,ta,பழக்கத்துக்கு மாறாக,He is finding fault with whatever I do.,en,rejected,sadness,9,55
186,My boss is always nit-picking in my work.,ta,நருக்கு நர்,My boss is always nitpicking in my work.,en,approved,anger,11,31
187,My boss scolded me. / He rebuked me.,ta,எப்படியும் சமாளிக்க டைண் டும்,My boss scolded me. He rebuked me.,en,approved,anger,12,81
188,I have a very strict boss.,ta,என் அத்தி பூத்தது போல வருகிறீர்கள்,I have a very strict boss.,en,approved,anger,7,94
189,He is never lenient.,ta,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,He is never lenient.,nl,approved,anger,6,116
190,It is tough work at the office.,ta,நாம் செலவை குறைக்க டைண் டும்,It is tough work at the office.,en,approved,anger,8,76
