id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status
111,நான் முடிந்தவரை முயற்சிப்பேன்,en,I will try my best.,நான் முடிந்தவரை முயற்சிப்பேன்,ta,approved
112,அப்படியா?,en,Is it?,அப்படியா?,ta,approved
113,பத்து நாற்கால் மணி,en,It’s quarter past 10.,பத்து நாற்கால் மணி,ta,approved
114,வரிசையை முந்தாதே,en,Don’t jump the queue.,வரிசையை முந்தாதே,ta,approved
115,என்னை தனியாக இருக்க விடு,en,Leave me alone.,என்னை தனியாக இருக்க விடு,ta,approved
116,அது இருக்கட்டும்,en,Let it be.,அது இருக்கட்டும்,ta,approved
117,நான் பார்க்கிறேன்,en,Let me see.,நான் பார்க்கிறேன்,ta,approved
118,நான் சொல்வதை கேள்,en,Listen to me.,நான் சொல்வதை கேள்,ta,approved
119,இரண்டு நாட்களாக பார்க்கவில்லை,en,Long-time no see.,இரண்டு நாட்களாக பார்க்கவில்லை,ta,approved
120,இன்றைய நாள் மகிழ்ச்சியானதாக இருக்கட்டும்,en,Many happy returns of the day!,இன்றைய நாள் மகிழ்ச்சியானதாக இருக்கட்டும்,ta,approved
121,கடவுள் உன்னை ஆசீர்வதிப்பாராக,en,May God bless you!,கடவுள் உன்னை ஆசீர்வதிப்பாராக,ta,approved
122,நான் உங்களுக்கு உதவலாமா?,en,May I help you?,நான் உங்களுக்கு உதவலாமா?,ta,approved
123,நீ உன் வேலையைப் பார்,en,Mind your own business.,நீ உன் வேலையைப் பார்,ta,approved
124,தயவுசெய்து ஒதுங்குங்கள்,en,"Move aside, please.",தயவுசெய்து ஒதுங்குங்கள்,ta,approved
125,அதைப் பற்றி கவலைப்படாதே,en,Never mind.,அதைப் பற்றி கவலைப்படாதே,ta,approved
126,"இல்லை, ஒன்றுமில்லை",en,"No, Not at all.","இல்லை, ஒன்றுமில்லை",ta,approved
127,சிறப்பாக எதுவும் இல்லை,en,Nothing special.,சிறப்பாக எதுவும் இல்லை,ta,approved
128,நிச்சயமாக,en,Of course.,நிச்சயமாக,ta,approved
129,நம்பிக்கையாக இரு,en,Rest assured.,நம்பிக்கையாக இரு,ta,approved
130,மீண்டும் சந்திப்போம்,en,See you again. See you later.,மீண்டும் சந்திப்போம்,ta,approved
131,நாம் தொடங்கலாமா?,en,Shall we start?,நாம் தொடங்கலாமா?,ta,approved
132,சிரமத்திற்கு மன்னிக்கவும்,en,Sorry for the inconvenience.,சிரமத்திற்கு மன்னிக்கவும்,ta,approved
133,என்ன நினைக்கிறீர்கள் அதைச் சொல்லுங்கள்,en,Speak your mind.,என்ன நினைக்கிறீர்கள் அதைச் சொல்லுங்கள்,ta,approved
134,விளக்கை அணைக்கவும்,en,Switch off the light.,விளக்கை அணைக்கவும்,ta,approved
135,விளக்கை போடவும்,en,Switch on the light.,விளக்கை போடவும்,ta,approved
136,பேசுவதற்கு முன் இரண்டு முறை சிந்தியுங்கள்,en,Think twice before you speak.,பேசுவதற்கு முன் இரண்டு முறை சிந்தியுங்கள்,ta,approved
137,இப்படி நல்லது தொடரட்டும்,en,Touch wood.,இப்படி நல்லது தொடரட்டும்,ta,approved
138,புரிந்துகொள்ள முயற்சி செய்,en,Try to understand.,புரிந்துகொள்ள முயற்சி செய்,ta,approved
139,அடுத்த முறை அதிர்ஷ்டத்தை முயற்சி செய்,en,Try your luck next time.,அடுத்த முறை அதிர்ஷ்டத்தை முயற்சி செய்,ta,approved
140,உன் மூளைப் பயன்படுத்து,en,Use your brain.,உன் மூளைப் பயன்படுத்து,ta,approved
141,இடத்தை காலி செய்,en,Vacate this place.,இடத்தை காலி செய்,ta,approved
142,ஒரு நிமிடம் காத்திரு,en,Wait a minute.,ஒரு நிமிடம் காத்திரு,ta,approved
143,"கவனியுங்கள், இந்த இடம் வழுக்கும்",en,Watch out. This place is slippery.,"கவனியுங்கள், இந்த இடம் வழுக்கும்",ta,approved
144,என்ன ஒரு பரிதாபம்,en,What a pity!,என்ன ஒரு பரிதாபம்,ta,approved
145,என்ன ஒரு அவமானம்,en,What a shame!,என்ன ஒரு அவமானம்,ta,approved
146,என்ன ஒரு யோசனை,en,What an idea!,என்ன ஒரு யோசனை,ta,approved
147,என்னால் என்ன செய்ய முடியும்,en,What can I do?,என்னால் என்ன செய்ய முடியும்,ta,approved
148,நீங்கள் என்ன சொல்கிறீர்கள்?,en,What do you mean?,நீங்கள் என்ன சொல்கிறீர்கள்?,ta,approved
149,என்ன முட்டாள்தனம்,en,What nonsense?,என்ன முட்டாள்தனம்,ta,approved
150,இன்றைய நாள் என்ன?,en,What’s the day today?,இன்றைய நாள் என்ன?,ta,approved
151,நேரம் என்ன?,en,What’s the time?,நேரம் என்ன?,ta,approved
152,யார் கவலைப்படுகிறார்கள்?,en,Who cares?,யார் கவலைப்படுகிறார்கள்?,ta,approved
153,யார் அங்கே?,en,Who is there?,யார் அங்கே?,ta,approved
154,இது யார்? இது நான்,en,Who is this? It’s me.,இது யார்? இது நான்,ta,approved
155,யாருக்கு தெரியும்?,en,Who knows?,யாருக்கு தெரியும்?,ta,approved
156,கொஞ்சம் தேநீர் வேண்டுமா?,en,Would you like some tea?,கொஞ்சம் தேநீர் வேண்டுமா?,ta,approved
157,நீங்கள் தவறாக நினைக்கிறீர்கள்,en,You are mistaken. You are making a mistake.,நீங்கள் தவறாக நினைக்கிறீர்கள்,ta,approved
158,நீ நகைச்சுவை செய்கிறாய்,en,You must be joking. You must be kidding.,நீ நகைச்சுவை செய்கிறாய்,ta,approved
159,இந்த பொருளுக்கு அதிக தேவை உள்ளது,en,There is a great demand for this item.,இந்த பொருளுக்கு அதிக தேவை உள்ளது,ta,approved
160,தளபாடங்கள் இங்கே மலிவானவை,en,Furniture is quite cheap here.,தளபாடங்கள் இங்கே மலிவானவை,ta,approved
161,கண்ணாடி உடையக்கூடியது,en,Glass is fragile. Handle with care.,கண்ணாடி உடையக்கூடியது,ta,approved
162,அவர் மிகவும் கூர்மையானவர்,en,He is quite sharp; understands easily.,அவர் மிகவும் கூர்மையானவர்,ta,approved
163,இந்த பெண் மிகவும் படிப்பாளி,en,This girl is quite studious.,இந்த பெண் மிகவும் படிப்பாளி,ta,approved
164,இந்த தளபாடங்கள் மிகவும் உறுதியானவை,en,This furniture is quite sturdy.,இந்த தளபாடங்கள் மிகவும் உறுதியானவை,ta,approved
165,அவர் ஒரு கஞ்சன்,en,He is a miser. Doesn’t spend even for essentials.,அவர் ஒரு கஞ்சன்,ta,approved
166,human_translated_text,ta,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,humantranslatedtext,en,approved
167,Don’t be a cry-baby. / Don’t be a fusspot.,ta,நீங்கள் எனக்கு உதவ முடியுமா?,Dont be a crybaby. Dont be a fusspot.,en,approved
168,Stop whining. / Stop whimpering.,ta,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,Stop whining. Stop whimpering.,en,approved
169,You are very naughty.,ta,சாப்பாடு பரிமாறு,You are very naughty.,en,approved
170,This boy is very mischievous; troublesome.,ta,ருசியான சாப்பாடு,This boy is very mischievous troublesome.,en,approved
171,Behave yourself. / Keep quiet.,ta,நான் உணவை ரசித்து சாப்பிட்டேன்,Behave yourself. Keep quiet.,en,approved
172,"She is smart, bright and intelligent.",ta,உணவின் முக்கியப் பகுதி,"She is smart, bright and intelligent.",en,approved
173,She yaps a lot. / She is a chatterbox. / Talkative. Doesn’t stop talking.,ta,விக்குது; விக்கல் எடுக்குது,She yaps a lot. She is a chatterbox. Talkative. Doesnt stop talking.,en,approved
174,Stubborn; adamant.,ta,பசி யித்வத கிள்ளுது,Stubborn adamant.,id,approved
175,She spilled coffee on the floor. / She messed up the place.,ta,பசிதய இல்வல,She spilled coffee on the floor. She messed up the place.,en,approved
176,Help yourself. (Do it yourself.) You’ve grown up.,ta,யித்வத புரட்டுது,Help yourself. Do it yourself. Youve grown up.,en,approved
177,Don’t depend on me. / Don’t bother me.,ta,யிறு கம்மமன்று இருக்குது,Dont depend on me. Dont bother me.,nl,approved
178,Don’t answer back. / Don’t talk back. / Don’t retort.,ta,அவனுக்கு புத்திகூர்மை அதிகம்,Dont answer back. Dont talk back. Dont retort.,en,approved
179,Just listen to me. / Obey me.,ta,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,Just listen to me. Obey me.,en,approved
180,Don’t crack your knuckles. / That’s a bad habit.,ta,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,Dont crack your knuckles. Thats a bad habit.,en,approved
181,You should turn up on time. / Be punctual. / Reach the office on time. / Don’t be late.,ta,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,You should turn up on time. Be punctual. Reach the office on time. Dont be late.,en,approved
182,My boss turned down my request.,ta,ஒட்டவட எடு,My boss turned down my request.,en,approved
183,My boss refused to grant me leave. / He rejected my leave application.,ta,அதில் தூசி தட்டிவிடு,My boss refused to grant me leave. He rejected my leave application.,en,approved
184,I had a hard time with my boss today. / My boss was tough and rude with me.,ta,பழக்கமாக,I had a hard time with my boss today. My boss was tough and rude with me.,en,approved
185,He is finding fault with whatever I do.,ta,பழக்கத்துக்கு மாறாக,He is finding fault with whatever I do.,en,rejected
186,My boss is always nit-picking in my work.,ta,நருக்கு நர்,My boss is always nitpicking in my work.,en,approved
187,My boss scolded me. / He rebuked me.,ta,எப்படியும் சமாளிக்க டைண் டும்,My boss scolded me. He rebuked me.,en,approved
188,I have a very strict boss.,ta,என் அத்தி பூத்தது போல வருகிறீர்கள்,I have a very strict boss.,en,approved
189,He is never lenient.,ta,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,He is never lenient.,nl,approved
190,It is tough work at the office.,ta,நாம் செலவை குறைக்க டைண் டும்,It is tough work at the office.,en,approved
191,Heavy work at the office.,ta,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,Heavy work at the office.,en,approved
192,I don’t know how to do this.,ta,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,I dont know how to do this.,en,approved
193,I am at a loss to know how to do this.,ta,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,I am at a loss to know how to do this.,en,approved
194,"Could you help me, if you don’t mind?",ta,அது அப்படியே இருக்கட்டும்,"Could you help me, if you dont mind?",en,approved
195,Would you mind lending me a helping hand?,ta,சரி. விஷயத்துக்கு வரலாம்,Would you mind lending me a helping hand?,en,approved
196,Serve food. (Don’t say: Keep the food) / (Second serving),ta,இது எல்லாவற்றிலும் நல்லது,Serve food. Dont say Keep the food Second serving,en,approved
197,Tasty food. / Yummy food. / Delicious; delectable; palatable.,ta,கண் ட கண் ட மபாருள்கள்,Tasty food. Yummy food. Delicious delectable palatable.,en,approved
198,I relished the food.,ta,சரி. இப்ப நாம் தொடங்கலாம்,I relished the food.,en,approved
199,Main course.,ta,மபரிய உபடதசம் பண் ணாதே,Main course.,fr,approved
200,I am hiccupping.,ta,எனக்கு ஒரு டயாசவன தோன்றுகிறது,I am hiccupping.,en,approved
201,I am starved. / I am famished.,ta,மீண் டும் மீண் டும்,I am starved. I am famished.,en,approved
202,I am full. / I am not hungry. / My stomach is full.,ta,இதுதான் வாழ்க்கையில் எல்லாம் என்று எண்ணிவிடாதே,I am full. I am not hungry. My stomach is full.,en,approved
203,Stomach churning. / My stomach is churning.,ta,,Stomach churning. My stomach is churning.,en,approved
204,I feel full. (Due to indigestion).,ta,சரி,I feel full. Due to indigestion.,it,approved
205,He is sharp and intelligent. / He is brainy.,ta,நீங்கள் தயாரா?,He is sharp and intelligent. He is brainy.,en,approved
206,He is dumb. / He is stupid. / Dull-headed. / Brainless fellow.,ta,உங்கள் இஷ்டம்,He is dumb. He is stupid. Dullheaded. Brainless fellow.,en,approved
207,This place is sticky.,ta,கவனமாக இரு,This place is sticky.,en,approved
208,Mop the floor.,ta,சரியான நேரத்தில் இருங்கள்,Mop the floor.,en,approved
209,Remove the cobwebs.,ta,தயாராக இருங்கள்,Remove the cobwebs.,en,approved
210,Dust it.,ta,ஜாக்கிரதை (நாய்கள் ஜாக்கிரதை),Dust it.,de,approved
211,Usually. / Customarily.,ta,சீக்கிரம் வா,Usually. Customarily.,en,approved
212,Unusually. / Contrary to the custom.,ta,முடிந்தது என்று கருதுங்கள்,Unusually. Contrary to the custom.,en,approved
213,Direct. / One to one (conversation). / One on one (competition).,ta,தாமதிக்க வேண்டாம்,Direct. One to one conversation. One on one competition.,en,approved
